customer_id,age,gender,item_purchased,category,purchase_amount_usd,location,size,color,season,review_rating,subscription_status,shipping_type,discount_applied,promo_code_used,previous_purchases,payment_method,frequency_of_purchases,age_group,purchase_frequency_days
1,55,Male,Blouse,Clothing,53.0,Kentucky,L,Gray,Winter,3.1,Yes,Express,Yes,Yes,14.0,Venmo,Fortnightly,middle-aged,14
2,19,Male,Sweater,Clothing,64.0,Maine,L,Maroon,Winter,3.1,Yes,Express,Yes,Yes,2.0,Cash,Fortnightly,young adult,14
3,50,Male,Jeans,Clothing,73.0,Massachusetts,S,Maroon,Spring,3.1,Yes,Free Shipping,Yes,Yes,23.0,Credit Card,Weekly,middle-aged,7
4,21,Male,Sandals,Footwear,90.0,Rhode Island,M,Maroon,Spring,3.5,Yes,Next Day Air,Yes,Yes,49.0,PayPal,Weekly,young adult,7
5,45,Male,Blouse,Clothing,49.0,Oregon,M,Turquoise,Spring,2.7,Yes,Free Shipping,Yes,Yes,31.0,PayPal,Annually,middle-aged,365
6,46,Male,Sneakers,Footwear,20.0,Wyoming,M,White,Summer,2.9,Yes,Standard,Yes,Yes,14.0,Venmo,Weekly,middle-aged,7
7,63,Male,Shirt,Clothing,85.0,Montana,M,Gray,Fall,3.2,Yes,Free Shipping,Yes,Yes,49.0,Cash,Quarterly,senior,90
8,27,Male,Shorts,Clothing,34.0,Louisiana,L,Charcoal,Winter,3.2,Yes,Free Shipping,Yes,Yes,19.0,Credit Card,Weekly,young adult,7
9,26,Male,Coat,Outerwear,97.0,West Virginia,L,Silver,Summer,2.6,Yes,Express,Yes,Yes,8.0,Venmo,Annually,young adult,365
10,57,Male,Handbag,Accessories,31.0,Missouri,M,Pink,Spring,4.8,Yes,2-Day Shipping,Yes,Yes,4.0,Cash,Quarterly,middle-aged,90
11,53,Male,Shoes,Footwear,34.0,Arkansas,L,Purple,Fall,4.1,Yes,Store Pickup,Yes,Yes,26.0,Bank Transfer,Bi-Weekly,middle-aged,14
12,30,Male,Shorts,Clothing,68.0,Hawaii,S,Olive,Winter,4.9,Yes,Store Pickup,Yes,Yes,10.0,Bank Transfer,Fortnightly,young adult,14
13,61,Male,Coat,Outerwear,72.0,Delaware,M,Gold,Winter,4.5,Yes,Express,Yes,Yes,37.0,Venmo,Fortnightly,senior,14
14,65,Male,Dress,Clothing,51.0,New Hampshire,M,Violet,Spring,4.7,Yes,Express,Yes,Yes,31.0,PayPal,Weekly,senior,7
15,64,Male,Coat,Outerwear,53.0,New York,L,Teal,Winter,4.7,Yes,Free Shipping,Yes,Yes,34.0,Debit Card,Weekly,senior,7
16,64,Male,Skirt,Clothing,81.0,Rhode Island,M,Teal,Winter,2.8,Yes,Store Pickup,Yes,Yes,8.0,PayPal,Monthly,senior,30
17,25,Male,Sunglasses,Accessories,36.0,Alabama,S,Gray,Spring,4.1,Yes,Next Day Air,Yes,Yes,44.0,Debit Card,Bi-Weekly,young adult,14
18,53,Male,Dress,Clothing,38.0,Mississippi,XL,Lavender,Winter,4.7,Yes,2-Day Shipping,Yes,Yes,36.0,Venmo,Quarterly,middle-aged,90
19,52,Male,Sweater,Clothing,48.0,Montana,S,Black,Summer,4.6,Yes,Free Shipping,Yes,Yes,17.0,Cash,Weekly,middle-aged,7
20,66,Male,Pants,Clothing,90.0,Rhode Island,M,Green,Summer,3.3,Yes,Standard,Yes,Yes,46.0,Debit Card,Bi-Weekly,senior,14
21,21,Male,Pants,Clothing,51.0,Louisiana,M,Black,Winter,2.8,Yes,Express,Yes,Yes,50.0,Cash,Every 3 Months,young adult,90
22,31,Male,Pants,Clothing,62.0,North Carolina,M,Charcoal,Winter,4.1,Yes,Store Pickup,Yes,Yes,22.0,Debit Card,Quarterly,young adult,90
23,56,Male,Pants,Clothing,37.0,California,M,Peach,Summer,3.2,Yes,Store Pickup,Yes,Yes,32.0,Debit Card,Annually,middle-aged,365
24,31,Male,Pants,Clothing,88.0,Oklahoma,XL,White,Winter,4.4,Yes,Express,Yes,Yes,40.0,Credit Card,Weekly,young adult,7
25,18,Male,Jacket,Outerwear,22.0,Florida,M,Green,Fall,2.9,Yes,Store Pickup,Yes,Yes,16.0,Debit Card,Weekly,young adult,7
26,18,Male,Hoodie,Clothing,25.0,Texas,M,Silver,Summer,3.6,Yes,Express,Yes,Yes,14.0,PayPal,Annually,young adult,365
27,38,Male,Jewelry,Accessories,20.0,Nevada,M,Red,Spring,3.6,Yes,Next Day Air,Yes,Yes,13.0,Credit Card,Annually,adult,365
28,56,Male,Shorts,Clothing,56.0,Kentucky,L,Cyan,Summer,5.0,Yes,Next Day Air,Yes,Yes,7.0,Bank Transfer,Every 3 Months,middle-aged,90
29,54,Male,Handbag,Accessories,94.0,North Carolina,M,Gray,Fall,4.4,Yes,Free Shipping,Yes,Yes,41.0,PayPal,Every 3 Months,middle-aged,90
30,31,Male,Dress,Clothing,48.0,Wyoming,S,Black,Fall,4.1,Yes,Store Pickup,Yes,Yes,14.0,Credit Card,Weekly,young adult,7
31,57,Male,Jewelry,Accessories,31.0,North Carolina,L,Black,Winter,4.7,Yes,Standard,Yes,Yes,16.0,Credit Card,Monthly,middle-aged,30
32,33,Male,Dress,Clothing,79.0,West Virginia,L,Brown,Winter,4.7,Yes,Store Pickup,Yes,Yes,45.0,Venmo,Monthly,adult,30
33,36,Male,Jacket,Outerwear,67.0,Kansas,M,Silver,Summer,4.9,Yes,Free Shipping,Yes,Yes,37.0,Venmo,Annually,adult,365
34,54,Male,Pants,Clothing,38.0,Colorado,L,Green,Summer,3.3,Yes,Store Pickup,Yes,Yes,45.0,Cash,Quarterly,middle-aged,90
35,36,Male,T-shirt,Clothing,91.0,North Dakota,L,Violet,Spring,4.6,Yes,2-Day Shipping,Yes,Yes,38.0,PayPal,Quarterly,adult,90
36,54,Male,Blouse,Clothing,33.0,Massachusetts,M,Cyan,Summer,4.0,Yes,2-Day Shipping,Yes,Yes,48.0,Credit Card,Bi-Weekly,middle-aged,14
37,35,Male,T-shirt,Clothing,69.0,Illinois,M,Maroon,Winter,4.6,Yes,Free Shipping,Yes,Yes,44.0,PayPal,Fortnightly,adult,14
38,35,Male,Jeans,Clothing,45.0,Indiana,S,Cyan,Summer,2.8,Yes,Store Pickup,Yes,Yes,10.0,PayPal,Weekly,adult,7
